EC,true,Blast,Diamond,Usearch,Rapsearch2,SWIPE
2.1.-,5784,90706,30043,41054,7809,148849
2.2.-,1137,11458,5707,7198,1070,11250
3.3.-,230,2251,922,1215,193,1843
4.6.-,296,4566,1153,1838,337,16900
1.16.-,100,1672,576,882,135,1857
2.9.-,73,917,360,458,106,1494
6.1.-,5407,71838,33500,36026,6471,80355
1.1.-,7128,70692,30042,45979,7783,59128
3.1.-,6734,114591,30980,49681,9499,202628
1.8.-,1513,14907,6691,9945,1581,13159
1.7.-,554,9448,4525,5945,941,8288
1.9.-,455,3177,1562,2281,371,3992
3.9.-,1,96,45,68,10,80
6.6.-,218,1670,851,1254,183,1531
3.5.-,5381,48709,18215,26254,4779,64584
6.4.-,736,8066,4233,5558,848,7036
1.6.-,2823,21488,8943,12906,2214,36396
3.11.-,12,253,100,123,36,173
4.1.-,4855,43355,19721,25779,4490,43108
1.15.-,224,1290,593,735,132,1387
5.5.-,66,985,238,394,75,1207
1.14.-,1060,25477,5389,10005,1762,43868
1.97.-,115,1217,401,600,123,1408
1.12.-,206,2803,1283,1984,340,2131
5.3.-,2025,17843,7192,9137,1659,19077
2.5.-,4122,34886,14587,19441,3424,38432
4.4.-,440,3798,1483,2354,443,2869
2.4.-,4784,63649,20434,29878,5205,105536
5.4.-,2115,25452,11183,14806,2635,24840
1.2.-,3528,37951,18896,26569,4555,31610
1.13.-,381,6544,1852,3039,547,6071
3.13.-,13,107,38,69,8,76
1.3.-,2740,29849,11808,18798,3061,28866
5.2.-,531,6535,2625,3829,764,14792
1.5.-,994,11134,3998,6249,1122,11227
1.20.-,92,557,176,314,71,366
2.3.-,6032,79049,28054,40759,7245,182690
1.21.-,27,851,304,442,117,757
5.99.-,950,12937,7662,9563,1624,13867
1.18.-,371,4244,1709,2520,463,5340
1.4.-,1420,15605,7698,10332,1623,15656
3.8.-,99,618,118,347,59,575
3.7.-,87,1846,602,1023,182,1502
1.17.-,1110,11761,5373,7220,1288,10236
6.3.-,6015,72308,31891,39986,6956,78191
4.3.-,1276,13315,6342,8440,1476,11644
6.2.-,1165,16750,6867,11039,1648,14005
3.6.-,6146,131125,50013,71494,13225,196391
4.2.-,7053,58830,26272,34430,5707,57986
5.1.-,1829,19382,8006,12343,2472,15476
2.7.-,16856,227973,76079,110505,20291,952391
2.8.-,953,22878,9128,12015,2144,26356
1.10.-,328,3699,1510,2392,371,3742
2.6.-,2482,22886,10573,14934,2589,18361
2.10.-,2,978,352,772,107,3802
3.2.-,2079,38491,10833,18030,3155,71930
6.5.-,448,8556,2860,3494,642,10381
4.99.-,259,3023,1150,1560,298,3529
1.11.-,616,8603,3521,4813,820,14136
3.4.-,4508,95809,24159,39890,7262,181290
