EC,True,SWIPE
2.4.-,5608243,6764582
2.1.-,5779950,9461669
2.2.-,1617805,1284050
3.3.-,287755,244127
4.6.-,354862,462855
3.6.-,7119946,14175458
2.5.-,3948999,3755464
3.7.-,102846,206348
4.1.-,5220660,4749709
6.1.-,9420108,7645098
1.1.-,8196258,7927566
3.1.-,6911033,12037674
1.22.-,0,814
1.8.-,1647083,1681044
1.7.-,869131,1062020
1.18.-,414751,464335
1.9.-,573370,351231
1.23.-,0,9746
1.19.-,1719,0
3.5.-,5605337,5278820
2.8.-,906577,2459355
1.6.-,3287604,2324527
3.11.-,9153,27020
3.10.-,0,3288
5.4.-,2539251,2778921
1.15.-,132778,133038
5.5.-,78021,103136
1.14.-,1244528,2635169
1.97.-,113942,128770
1.12.-,239374,323972
5.3.-,1882212,1904152
3.8.-,88491,68112
3.9.-,338,10035
1.2.-,4994289,4344536
1.13.-,387150,696455
3.13.-,12464,12601
1.3.-,3099503,3354301
4.7.-,0,14904
1.5.-,1176071,1226231
1.20.-,48679,60205
2.3.-,7387882,8466952
1.21.-,25827,89290
5.99.-,2181685,1503653
5.2.-,435033,707033
1.4.-,2552414,1759303
3.4.-,5825140,10008794
6.6.-,581833,199987
5.1.-,1975216,2182588
1.17.-,1815891,1324715
6.3.-,8144454,7828534
4.3.-,1642220,1489967
6.2.-,1806032,1921973
1.16.-,102812,181427
4.2.-,7620270,6435069
4.99.-,268001,316912
4.4.-,404557,420204
2.7.-,22141177,24135144
6.4.-,1042742,914788
1.10.-,326654,416685
2.6.-,3011868,2581756
2.10.-,2410,115569
3.2.-,2928489,4092479
6.5.-,777236,898245
4.5.-,0,9970
1.11.-,635399,924445
2.9.-,99521,96403
